id,start,end,duration,peak-time,peak-reflect_max,peak-reflect_avg,peak-area,peak-area_px,peak_lat,peak_lon,min-speed,avg-speed,max-speed,min-area,avg-area,max-area,pmed_med,pmax_med,delta-reflect,num_eventos_simult,threshold,vertices,edges,cluster_coef,avg_degree,diameter,shortpath_mean,avg_betweeness,num_components,giant_component_v,giant_component_e,singletons
6d8ee77c-1370-4532-8d07-1e0bf5b52f21,2019-01-06 01:50:00,2019-01-06 04:50:00,3,2019-01-06 02:10:00,35.89,29.904917,37.611797,34,-23.46427,-46.578262,1.6582524,3.4941826820373536,7.7612934,21.018358,110.45700120925903,300.89,26.24,32.35,6.11,10,0.6800000000000002,277,3749,0.8762952297413015,27.068592057761723,12,2.4722853282929247,81.84837545126355,9,123,1048,1
d21ee0da-0967-4d22-84ee-7517a2319b52,2019-01-04 09:50:00,2019-01-04 12:10:00,2.5,2019-01-04 10:50:00,35.89,26.330702,754.4484,682,-23.989532,-45.909416,3.3364837,6.283391028642654,9.505526,12.168523,342.0322872400284,897.15,24.78,31.35,6.57,4,0.53,297,3806,0.9685076803894646,25.62962962962963,8,2.1351392419859154,61.51515151515155,8,123,1749,0
83a99d5c-ff2d-41db-aec1-4783a4552ca3,2019-03-20 16:20:00,2019-03-20 18:30:00,2.1666667,2019-03-20 16:20:00,36.01,26.632456,246.68915,223,-23.682444,-45.73378,1.3129712,4.957755827903748,12.957533,34.29311,155.68334376017253,305.32,25.29,31.38,6.09,9,0.5,180,1443,0.9972265145211776,16.03333333333334,2,1.130353817504656,3.111111111111111,13,49,616,1
716bd6d7-1e71-4dbc-9998-5e96265edbc8,2019-03-19 05:30:00,2019-03-19 09:00:00,3.5,2019-03-19 07:00:00,36.01,23.06448,1144.9474,1035,-23.705145,-46.37579,0.7693657,7.597647607326508,29.378435,67.47999,1387.9330683169158,"2,902.75",22.41,26.99,4.58,0,0.5,106,1009,1.0,19.037735849056606,1,1.0,0.0,11,35,595,2
27f4b99d-10b4-44b9-aab3-29a05191ad26,2019-03-07 02:40:00,2019-03-07 04:30:00,1.8333334,2019-03-07 03:20:00,36.14,26.537308,65.26753,59,-23.433277,-46.14153,3.8234098,7.35403612943796,9.4691725,8.849834,69.77754358144907,211.29,25.21,31.14,5.93,4,0.6700000000000002,592,16496,0.8975361766381681,55.72972972972973,14,5.078558081365404,1170.6047297297316,3,576,16391,1
fa6ed04f-df38-4cc5-8c6c-3220cffb5c10,2019-01-04 02:10:00,2019-01-04 04:20:00,2.1666667,2019-01-04 02:40:00,36.52,28.151863,60.842613,55,-23.957512,-46.252773,1.8657061,3.8499698479970297,6.2569957,13.274753,80.82849089304607,298.68,23.58,28.01,4.43,4,0.7600000000000002,1751,95333,0.8446105495027649,108.88977727013128,21,2.9987397520983756,935.3843517989732,30,941,51722,7
f02569b7-9c1f-4d8a-8497-a046d1c4783b,2019-02-04 20:40:00,2019-02-04 22:20:00,1.6666666,2019-02-04 20:40:00,36.52,25.871244,391.6052,354,-24.172115,-46.137115,2.9548051,5.4198989272117615,13.332726,37.611797,120.76337083180745,391.61,22.66,26.27,3.61,0,0.5,131,1135,0.9897228277795079,17.32824427480916,2,1.1301775147928996,2.519083969465649,9,40,450,1
dedc5fe1-f8be-4b00-aae0-9a603cc237b1,2019-03-01 08:00:00,2019-03-01 10:00:00,2,2019-03-01 09:20:00,36.77,26.756765,232.30817,210,-23.905306,-46.302013,5.4497776,8.214357580457415,11.638248,68.58622,235.62685775756836,381.65,25.68,34.07,8.40,7,0.8400000000000003,3115,126385,0.9177401284861905,81.14606741573027,25,2.8873669644590088,903.1512038523267,123,972,21093,41
e2a4b25d-aaca-4843-8719-bbb8a1f78aef,2019-02-12 14:40:00,2019-02-12 18:10:00,3.5,2019-02-12 16:10:00,36.77,28.461117,81.86097,74,-23.721722,-45.80232,0.4184335,4.004968516204668,16.075726,32.08065,139.62538246486497,400.46,25.57,31.40,5.83,6,0.56,284,8346,0.9858773287252347,58.77464788732396,4,1.174099197854061,11.88380281690137,16,138,7450,1
3633c225-4a89-4bc8-806a-3e4ac3d937a5,2019-01-04 10:40:00,2019-01-04 12:20:00,1.6666666,2019-01-04 11:30:00,36.77,27.486824,338.5062,306,-23.446033,-46.166176,4.778141,9.868464469909668,16.765074,33.186882,260.4248326619466,650.46,25.59,32.47,6.88,4,0.6700000000000002,232,2979,0.9967238559578374,25.681034482758605,3,1.246264367816093,5.556034482758621,9,61,966,0
1f436e50-ccd8-4caf-b4d2-2a003be0e63a,2019-02-04 11:00:00,2019-02-04 13:10:00,2.1666667,2019-02-04 11:20:00,36.89,29.514566,153.76588,139,-23.935028,-46.773422,1.0534533,4.710390011469523,9.702191,23.230816,134.22249552408854,317.49,25.25,31.19,5.94,5,0.8800000000000003,6122,103239,0.9283005013492285,33.727213328977506,42,4.860458830411805,2883.0476968310995,1129,1649,43331,508
