id,start,end,duration,peak-time,peak-reflect_max,peak-reflect_avg,peak-area,peak-area_px,peak_lat,peak_lon,min-speed,avg-speed,max-speed,min-area,avg-area,max-area,avg-reflect_avg,avg-reflect_max,delta-reflect,num_simult_events,threshold,vertices,edges,cluster_coef,avg_degree,diameter,shortpath_mean,avg_betweeness,num_components,giant_component,singletons,t_delay
b5af3d22-0cfd-4fd6-9552-2411b0ad0664,2019-03-11 10:00:00,2019-03-11 11:50:00,1.8333334,2019-03-11 11:30:00,42.79,30.663452,37.611797,34,-23.930197,-46.521435,2.0030937,4.8616461753845215,13.365783,16.593441,91.81703802255484,540.94617,27.32013511657715,35.82538472689115,8.50524961,9,0.8300000000000003,411,37233,0.83564213267445,181.1824817518247,7,1.8983771992904779,182.37712895377126,3,409,2,10.0
b600ef16-39ce-439e-909e-0cf433967a32,2019-03-21 14:30:00,2019-03-21 17:10:00,2.6666667,2019-03-21 14:40:00,41.54,26.68485,5442.6484,4920,-24.043316,-46.24458,2.8780227,19.03007483482361,84.50146,16.593441,2084.205263376236,6676.094,24.5959210395813,32.5743750333786,7.978453994,7,0.6300000000000001,135,3843,0.8531834128031005,56.93333333333334,6,2.0677722498618007,71.54074074074076,1,135,0,30.0
b97cc243-38d4-45c8-8c34-9977b094b1c9,2019-03-19 21:00:00,2019-03-20 05:00:00,10.666667,2019-03-20 00:30:00,62.12,40.166607,19353.482,17495,-23.593742,-46.333652,0.574928,16.971417533159254,108.43965,16.593441,14843.053785476684,65909.15,31.041851806640626,44.51939998626709,13.47754818,14,0.9300000000000004,13105,3133892,0.8022106760196615,478.2742464708153,56,8.374465325241392,36668.971232354124,826,10418,442,10.0
b9b51361-6d7b-4819-bc43-50acfc09ddff,2019-03-15 22:30:00,2019-03-16 00:40:00,2.6666667,2019-03-15 23:10:00,53.96,35.251472,5627.3887,5087,-23.778797,-46.025673,1.0892287,27.898751403604233,70.41094,927.0202,3845.727334158761,8673.944,34.107780184064595,49.58714294433594,15.47936276,13,0.8800000000000003,3352,522221,0.7146991515076804,311.58770883054865,13,3.1815660897824083,3601.936455847259,25,3318,15,30.0
badde2eb-6e14-48b5-b274-88151e144014,2019-02-11 14:40:00,2019-02-11 16:50:00,2.1666667,2019-02-11 15:20:00,50.07,39.429806,200.22751,181,-23.259842,-45.936718,2.8353286,6.830105511347453,19.316065,21.018358,130.01882311503093,313.0629,31.786622746785483,40.8586664835612,9.072043737,1,0.8100000000000003,452,36288,0.861537727363101,160.566371681416,9,2.4832224685883224,332.986725663717,2,451,1,10.0
bb05e635-bdea-4e8d-8cc0-08567ee6b1ba,2019-03-11 05:50:00,2019-03-11 08:00:00,2.1666667,2019-03-11 06:00:00,49.82,33.79876,2382.818,2154,-23.662333,-45.890263,1.5470977,8.927743220329285,28.458572,12.168523,693.0895687739054,2382.818,29.20739835103353,38.833333587646486,9.625935237,8,0.8400000000000003,1172,302042,0.8410554510726456,515.4300341296935,10,2.028496870006309,598.5904436860072,4,1167,2,10.0
bba431c2-e83d-4915-ad3d-361f69a95fc8,2019-02-13 02:40:00,2019-02-13 04:50:00,2.1666667,2019-02-13 02:50:00,46.56,29.20261,3145.01,2843,-23.55091,-45.815933,0.89391667,20.92997134923935,55.855583,482.316,2709.893192545573,5667.213,28.56349245707194,42.8293337504069,14.26584129,11,0.8700000000000003,878,118145,0.7876278185762416,269.12300683371285,9,2.155331235331754,493.39749430523943,9,861,6,10.0
bbf4a06d-c3f2-4c41-9452-25537958b565,2019-03-04 14:50:00,2019-03-04 18:40:00,4,2019-03-04 17:00:00,59.35,44.337437,549.79596,497,-23.139698,-46.24777,1.1095151,4.2377492666244505,10.422278,56.417698,277.589821879069,549.79596,33.46542663574219,43.46133270263672,9.995906067,9,0.9200000000000004,2760,318266,0.7808864300849453,230.6275362318842,20,4.993756715946847,4992.457246376812,100,2565,67,10.0
be191d22-339d-4fba-84ac-5a1441b4379b,2019-03-02 17:00:00,2019-03-02 20:50:00,8.166667,2019-03-02 18:20:00,64.63,43.567467,9107.586,8233,-23.395744,-45.943817,1.440773,11.604859538078308,34.40728,87.39212,4637.578938598633,9107.586,38.721026000976565,54.9723998260498,16.25137383,20,0.9300000000000004,6813,914253,0.7644732252047944,268.38485248789084,20,4.179359089469846,8833.180537208273,519,5815,273,10.0
c00120dc-fc52-4f6c-9776-2e634f8b4d40,2019-01-05 23:40:00,2019-01-06 02:50:00,3.1666667,2019-01-06 01:30:00,45.55,32.330593,334.08127,302,-23.48689,-46.40343,0.99503,3.9387231582687017,8.267126,25.443275,275.97788492838544,588.51404,30.4434266771589,40.21761894226074,9.774192265,24,0.8600000000000003,506,21797,0.8091751224498651,86.15415019762843,14,4.013740139404809,713.4999999999998,16,486,12,30.0
c15ce9b2-09dc-414f-8005-0f53cb2c8186,2019-03-15 18:30:00,2019-03-15 22:00:00,8.833333,2019-03-15 20:10:00,57.1,38.355232,910.42676,823,-23.680992,-45.92989,1.2965603,8.712757056409663,25.21886,306.42554,2150.962413441051,4508.9907,36.384525472467594,52.484091151844375,16.09956568,23,0.8900000000000003,6502,1276227,0.7088721477219259,392.5644417102421,20,3.8507768456476557,8373.951399569361,272,6069,191,30.0
c43bfc08-40c9-44c1-be25-0f733d91cf8b,2019-01-17 19:20:00,2019-01-17 21:30:00,6.5,2019-01-17 15:50:00,63.37,47.085846,696.9245,630,-22.938103,-44.82199,3.3629098,8.88536057472229,29.936169,36.50557,474.20364100138346,810.8661,35.807804870605466,47.251333236694336,11.44352837,6,0.8700000000000003,2440,455811,0.7544114635413826,373.6155737704912,15,2.939408499298221,2334.178278688527,16,2420,12,10.0
c57488e6-4c0f-47c5-a259-b1c781a3746d,2019-03-27 17:40:00,2019-03-28 00:30:00,6.8333335,2019-03-27 20:10:00,60.61,42.930363,1524.384,1378,-23.891705,-46.355423,1.1901736,7.66373129879556,25.214533,296.46948,1093.629134015339,2562.027,38.932911942644814,53.7878049524819,14.85489301,8,0.9100000000000004,3176,123560,0.7493957041698718,77.80856423173788,34,5.842099886043176,3588.1460957178792,510,1871,342,10.0
c57f6565-0773-483f-9363-dc54ad73984c,2019-03-01 14:20:00,2019-03-01 19:00:00,5.5,2019-03-01 18:10:00,61.24,36.348396,20492.898,18525,-23.487087,-45.791435,0.9763845,11.692523791872222,47.63082,5506.8096,21164.570682920257,38050.973,35.77044704042632,54.81448311641299,19.04403608,12,0.9200000000000004,10773,918424,0.7529871146276602,170.5047804696934,35,7.383206050522191,18328.83208020058,2086,6667,1306,10.0
c5afe490-b96c-41ee-9253-a72c9b392172,2019-03-16 17:30:00,2019-03-16 20:40:00,3.1666667,2019-03-16 19:10:00,61.49,44.046696,2151.6162,1945,-23.314484,-45.905647,0.5334293,6.283390689463842,27.503195,97.34818,2207.559692019508,6954.864,41.83205268496559,57.82761909848168,15.99556641,16,0.9300000000000004,5588,1065679,0.7536679488950735,381.41696492484,17,3.9465602442242824,7583.957945597712,204,5286,143,20.0
c8ed202a-f0e7-49bb-bcad-78bc28f5432d,2019-03-21 10:10:00,2019-03-21 12:30:00,2.3333333,2019-03-21 11:10:00,39.79,24.604914,1024.3684,926,-23.186377,-45.922382,3.0917006,7.860395357012749,15.849748,50.88655,590.7264766693115,1323.0503,23.50821578502655,29.343124628067017,5.834908843,6,0.8100000000000003,189,6751,0.8383735070088238,71.43915343915342,5,2.0558369920072046,99.24867724867727,1,189,0,20.0
c9409286-81fd-4e2c-918c-00a2b9d028f5,2019-03-15 12:50:00,2019-03-15 14:50:00,2,2019-03-15 13:30:00,52.33,39.03257,360.63077,326,-24.012009,-45.97341,1.9005332,5.064694844759428,14.083236,70.798676,297.8309789804312,861.7527,33.09092639042781,43.093077146089996,10.00215076,5,0.8600000000000003,900,105125,0.7837263649095567,233.61111111111123,7,2.462279075516009,657.2944444444441,1,900,0,10.0
cac5585d-ab62-438f-b5ae-fdb23f0a1e16,2019-03-27 03:50:00,2019-03-27 05:40:00,1.8333334,2019-03-27 04:30:00,57.98,45.077114,784.3166,709,-24.091948,-46.728077,1.7793692,9.305972805389992,23.7182,12.168523,581.5362579639142,1408.23,38.881106450007515,50.71000025822566,11.82889381,1,0.8700000000000003,248,6840,0.8186701286261038,55.161290322580676,10,2.6728145149197786,202.4274193548389,3,244,1,10.0
cc8c88c3-16c6-427a-8394-7db894fab9f6,2019-03-13 01:50:00,2019-03-13 03:30:00,1.6666666,2019-03-13 01:50:00,44.56,32.926243,889.4084,804,-23.402449,-46.171608,2.3075507,6.0147348046302795,11.460403,36.50557,389.39273325602215,889.4084,28.40203348795573,37.145833333333336,8.743799845,3,0.9600000000000004,1081,166564,0.762909047990368,308.1665124884362,10,2.216434885559163,652.0203515263645,5,1077,4,30.0
ccd8b608-97ba-43d1-ac8e-e08ff8c8d5c0,2019-03-05 20:00:00,2019-03-05 21:40:00,1.6666666,2019-03-05 20:20:00,60.36,44.931805,836.3094,756,-23.152237,-46.421314,1.6426425,8.840360820293427,19.56466,36.50557,313.15508969624835,840.7343,36.983481566111244,48.41833337148031,11.43485181,14,0.9900000000000004,2909,549527,0.6729427340892344,377.8116191130978,10,2.5389007352596384,2201.635269852183,23,2878,15,30.0
cd156354-7134-4ac9-8f95-fa6bc828bbfd,2019-01-18 19:10:00,2019-01-18 23:30:00,10.833333,2019-01-18 20:20:00,70.9,49.509785,16669.77,15069,-23.326643,-45.695126,1.5491507,11.655908964298389,93.740234,8672.838,16991.969581886573,23352.502,43.39500328346535,62.472222363507306,19.07721908,7,0.9300000000000004,10388,1445315,0.7661172951116729,278.26626877165955,29,5.039926280318882,15230.816134000766,1086,8115,606,10.0
cd8084e9-416b-4243-bd87-9d2e62163e3d,2019-02-28 02:40:00,2019-02-28 04:20:00,3.5,2019-02-28 01:40:00,52.21,27.73473,1487.8785,1345,-23.053331,-46.25441,5.0179543,10.00548275311788,19.536293,95.13573,1198.6916999816895,2766.6797,24.223484834035236,32.3041664759318,8.080681642,6,0.7600000000000002,501,54784,0.8306218309502716,218.69860279441116,7,2.0026107784431164,250.6526946107781,1,501,0,10.0
